"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,, 7 POLLING STATIONS,Ward Total,5,885,5,0,3,0,1,14,1,0,1,0,1,2,1288,8,0,0,4,1,0,1,2,13,0,2235,2222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,10,Gaza Registrar General's Office Tent,0700BUH1001,2,158,1,0,0,0,0,6,0,1,0,0,0,0,180,1,0,1,4,1,0,0,0,5,0,360,355
Buhera,Buhera North,Buhera RDC,10,Hande Primary School,0700BUH1002,2,176,1,0,0,1,0,0,0,1,0,0,0,0,177,0,0,1,3,0,0,0,0,4,0,366,362
Buhera,Buhera North,Buhera RDC,10,Machacha Primary School,0700BUH1003,0,75,0,0,0,0,0,0,0,0,0,0,0,0,184,1,0,1,1,0,0,0,0,3,0,265,262
Buhera,Buhera North,Buhera RDC,10,Nyamasanga Business Centre Tent,0700BUH1004,0,172,0,0,0,0,2,4,0,1,0,0,0,1,413,1,0,1,0,0,2,2,0,4,0,603,599
Buhera,Buhera North,Buhera RDC,10,St. Johns Primary School,0700BUH1005,1,102,1,0,0,0,2,1,0,0,0,0,0,1,223,0,0,0,1,0,0,1,0,11,0,344,333
Buhera,Buhera North,Buhera RDC,10,St Michaels Primary School,0700BUH1006,2,137,2,1,0,0,0,2,0,0,0,0,0,1,320,1,0,0,0,1,0,3,1,8,0,479,471
Buhera,Buhera North,Buhera RDC,10,St Michaels Secondary School,0700BUH1007,1,122,4,0,0,0,0,5,0,0,0,0,0,0,253,1,0,1,1,1,0,3,0,9,0,401,392
,,,, 7 POLLING STATIONS,Ward Total,8,942,9,1,0,1,4,18,0,3,0,0,0,3,1750,5,0,5,10,3,2,9,1,44,0,2818,2774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,11,Domboreshumba Church Tent,0700BUH1101,0,128,1,0,0,0,0,1,0,1,1,0,0,0,341,0,0,0,0,1,0,2,1,3,0,480,477
Buhera,Buhera North,Buhera RDC,11,Nyamasanga Primary School,0700BUH1102,1,99,0,0,0,1,0,0,0,0,0,0,0,1,137,1,0,1,0,0,0,1,0,1,0,243,242
Buhera,Buhera North,Buhera RDC,11,St Albans Primary School,0700BUH1103,1,218,6,0,0,0,1,2,0,1,0,0,0,1,394,1,1,1,0,0,1,1,1,6,0,636,630
Buhera,Buhera North,Buhera RDC,11,St.Moses The Prophet Primary School,0700BUH1104,1,127,0,0,2,0,6,0,0,0,0,0,0,0,340,0,0,0,2,1,1,0,1,5,0,486,481
,,,,4 POLLING STATIONS,Ward Total,3,572,7,0,2,1,7,3,0,2,1,0,0,2,1212,2,1,2,2,2,2,4,3,15,0,1845,1830
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,12,Bhidhiri Township Tent,0700BUH1201,1,142,0,0,0,0,0,0,0,0,0,0,0,0,127,1,0,1,0,0,0,0,0,2,0,274,272
Buhera,Buhera North,Buhera RDC,12,Chiwenga Clinic Tent,0700BUH1202,1,106,0,0,0,1,0,1,0,0,0,0,0,0,329,2,1,0,0,0,0,1,0,3,0,445,442
Buhera,Buhera North,Buhera RDC,12,Mavangwe Primary School,0700BUH1203,0,145,0,0,0,1,1,10,1,1,0,0,0,1,296,3,1,2,0,0,1,1,0,16,0,480,464
Buhera,Buhera North,Buhera RDC,12,Mukwasi Primary School,0700BUH1204,1,162,1,0,0,0,0,3,0,0,0,0,0,0,222,0,0,0,1,0,0,0,1,3,0,394,391
Buhera,Buhera North,Buhera RDC,12,Rupfunde Primary School,0700BUH1205,0,35,0,0,0,2,0,2,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,8,0,210,202
Buhera,Buhera North,Buhera RDC,12,Sabi Drift Business Centre Tent,0700BUH1206,0,46,0,0,0,0,1,0,0,0,0,0,0,0,206,1,0,0,0,0,1,0,1,1,0,257,256
Buhera,Buhera North,Buhera RDC,12,St Antony Primary School,0700BUH1207,0,128,2,0,0,0,1,0,0,0,1,0,0,0,169,1,0,1,0,1,1,0,0,6,0,311,305
,,,,7 POLLING STATIONS,Ward Total,3,764,3,0,0,4,3,16,1,1,1,0,0,1,1512,8,2,4,1,1,3,2,2,39,0,2371,2332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,13,Chipodzana Primary School,0700BUH1301,1,55,0,0,0,1,3,0,0,0,0,0,1,1,150,0,0,0,0,1,0,0,0,7,0,220,213
Buhera,Buhera North,Buhera RDC,13,Garawaziva Club House,0700BUH1302,0,107,2,0,1,0,0,1,1,1,0,0,0,0,328,2,0,2,4,0,0,0,0,3,0,452,449
Buhera,Buhera North,Buhera RDC,13,Masocha Primary School,0700BUH1303,3,142,3,0,0,2,1,2,0,0,0,0,1,0,228,0,0,0,2,0,0,0,0,3,0,387,384
Buhera,Buhera North,Buhera RDC,13,Mavhaire Business Centre Tent,0700BUH1304,0,134,2,0,0,1,0,1,0,0,0,0,0,0,110,1,1,0,0,0,0,0,0,2,0,252,250
Buhera,Buhera North,Buhera RDC,13,Mugonhiwa Business Centre Tent,0700BUH1305,1,104,1,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,2,1,0,0,0,6,0,328,322
Buhera,Buhera North,Buhera RDC,13,Neshava Primary School,0700BUH1306,6,283,2,0,0,1,0,5,0,1,0,0,0,0,161,7,1,0,4,1,1,0,1,9,0,483,474
Buhera,Buhera North,Buhera RDC,13,Shava Mine Tent,0700BUH1307,0,84,1,0,0,0,1,1,0,0,0,0,0,0,127,1,0,0,1,0,0,0,0,0,0,216,216
,,,,7 POLLING STATIONS,Ward Total,11,909,11,0,1,5,5,10,1,2,0,0,2,1,1317,11,2,2,13,3,1,0,1,30,0,2338,2308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,Buhera RDC,31,Chawatama Primary School,0700BUH3101,1,202,0,0,0,1,1,2,1,0,0,1,0,0,199,0,0,0,1,0,1,0,0,4,0,414,410
Buhera,Buhera North,Buhera RDC,31,Mugwenhi Primary School,0700BUH3102,1,73,0,0,0,1,0,0,0,0,0,0,0,0,112,1,1,1,0,0,0,1,0,1,0,192,191
Buhera,Buhera North,Buhera RDC,31,Mugwenhi Business Centre Tent,0700BUH3103,0,196,1,0,1,0,2,2,1,0,0,0,0,0,318,4,0,3,0,1,2,1,1,3,0,536,533
Buhera,Buhera North,Buhera RDC,31,Ndawana Primary School,0700BUH3104,1,125,1,0,0,0,0,4,0,0,0,0,0,0,198,1,0,0,0,0,0,0,0,2,0,332,330
Buhera,Buhera North,Buhera RDC,31,Mahoko Primary School,0700BUH3105,1,58,0,0,0,0,1,0,0,0,0,0,0,0,154,1,0,0,0,0,0,1,0,0,0,216,216
Buhera,Buhera North,Buhera RDC,31,Mukondomi Primary School,0700BUH3106,5,180,3,0,1,4,1,2,0,0,0,0,1,0,227,6,1,1,1,1,0,1,1,11,0,447,436
,,,,6 POLLING STATIONS,Ward Total,9,834,5,0,2,6,5,10,2,0,0,1,1,0,1208,13,2,5,2,2,3,4,2,21,0,2137,2116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BUHERA NORTH CONSTITUENCY TOTALS,,50,6361,46,1,9,25,30,92,8,12,3,4,4,12,10379,58,10,22,41,13,15,20,13,197,0,17425,17228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,24,Mabhoko Primary School,0700BUH2401,0,50,0,0,0,1,0,0,0,0,0,0,0,0,227,1,0,0,0,0,0,1,0,2,0,282,280
Buhera,Buhera South,Buhera RDC,24,Matsakanure Primary School,0700BUH2402,4,212,1,0,0,0,0,2,0,0,1,0,0,0,332,3,0,0,0,0,0,0,0,17,0,572,555
Buhera,Buhera South,Buhera RDC,24,Mushongwi Primary School,0700BUH2403,7,377,2,0,0,0,2,8,0,1,0,1,0,2,310,15,1,3,3,0,2,0,3,14,0,751,737
Buhera,Buhera South,Buhera RDC,24,Muzokomba Business Centre Tent,0700BUH2404,8,416,3,0,0,2,0,2,0,0,0,0,0,0,212,3,1,2,0,1,0,1,0,3,0,654,651
Buhera,Buhera South,Buhera RDC,24,Muzokomba Primary School,0700BUH2405,0,136,1,0,0,1,0,1,0,0,0,0,0,0,109,4,0,0,0,0,0,0,0,5,0,257,252
Buhera,Buhera South,Buhera RDC,24,Nyadi Primary School,0700BUH2406,3,182,0,0,0,1,1,2,0,0,1,0,0,0,199,1,0,0,1,0,0,1,1,3,0,396,393
Buhera,Buhera South,Buhera RDC,24,Zvakare Primary School,0700BUH2407,2,70,2,0,0,1,0,1,0,0,0,0,0,0,222,1,0,0,1,0,1,0,0,3,0,304,301
,,,,7 POLLING STATIONS,Ward Total,24,1443,9,0,0,6,3,16,0,1,2,1,0,2,1611,28,2,5,5,1,3,3,4,47,0,3216,3169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,25,Manjokota Primary School,0700BUH2501,2,187,3,0,1,2,0,1,0,0,0,1,0,0,220,0,1,0,0,1,1,0,0,6,0,426,420
Buhera,Buhera South,Buhera RDC,25,Mukuri Business Centre Tent,0700BUH2502,5,51,4,1,0,1,0,3,0,0,0,1,0,0,312,1,0,0,0,1,0,0,0,3,0,383,380
Buhera,Buhera South,Buhera RDC,25,Ngomayevise Primary School,0700BUH2503,0,143,0,0,1,2,0,2,0,0,0,0,0,0,241,4,2,2,1,0,0,0,0,7,0,405,398
Buhera,Buhera South,Buhera RDC,25,Romorehoto Primary School,0700BUH2504,12,271,10,0,0,5,0,8,0,2,0,0,0,0,291,7,2,2,2,2,2,2,0,24,0,642,618
Buhera,Buhera South,Buhera RDC,25,Tsamwai Business Centre Tent,0700BUH2505,0,89,2,1,0,0,1,4,0,0,0,0,0,0,101,1,1,1,0,0,0,2,0,6,0,209,203
Buhera,Buhera South,Buhera RDC,25,Zangama Primary School A,0700BUH2506 A,3,215,3,1,0,2,1,4,0,1,0,0,0,0,188,2,0,1,0,0,2,0,0,5,0,428,423
Buhera,Buhera South,Buhera RDC,25,Zangama Primary School B,0700BUH2506 B,6,258,5,0,0,0,0,2,1,1,0,0,0,1,151,1,0,0,2,0,1,0,3,4,0,436,432
Buhera,Buhera South,Buhera RDC,25,Zvenyika Primary School,0700BUH2507,1,122,1,0,0,2,0,13,1,0,0,0,0,0,217,2,0,0,0,0,0,0,1,8,0,368,360
,,,,8 POLLING STATIONS,Ward Total,29,1336,28,3,2,14,2,37,2,4,0,2,0,1,1721,18,6,6,5,4,6,4,4,63,0,3297,3234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,26,Imbi Primary School,0700BUH2601,7,147,3,0,1,3,2,5,1,1,1,0,0,2,387,0,1,2,3,1,5,2,1,2,0,577,575
Buhera,Buhera South,Buhera RDC,26,Muchuwa Primary School,0700BUH2602,0,94,1,1,2,2,0,1,0,0,0,0,0,1,366,1,1,1,0,0,1,0,1,4,0,477,473
Buhera,Buhera South,Buhera RDC,26,Mutepfe Primary School,0700BUH2603,7,217,5,0,0,1,1,4,0,0,0,0,0,3,558,3,1,1,1,0,0,0,0,14,0,816,802
Buhera,Buhera South,Buhera RDC,26,Mutero Business Centre Tent,0700BUH2604,3,57,2,0,1,0,2,1,0,0,0,0,0,0,351,0,1,0,0,0,0,0,0,2,0,420,418
Buhera,Buhera South,Buhera RDC,26,Zumbi Ngomayevise Primary School,0700BUH2605,0,76,2,0,0,1,0,4,0,0,0,0,0,0,378,1,0,0,0,1,0,0,0,7,0,470,463
,,,,5 POLLING STATIONS,Ward Total,17,591,13,1,4,7,5,15,1,1,1,0,0,6,2040,5,4,4,4,2,6,2,2,29,0,2760,2731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,27,Chimombe Primary School A,0700BUH2701 A,1,107,0,0,0,1,0,2,0,0,0,0,0,0,321,0,1,0,0,2,1,0,1,9,0,446,437
Buhera,Buhera South,Buhera RDC,27,Chimombe Primary School B,0700BUH2701 B,2,97,0,0,0,2,0,3,0,0,0,0,0,1,333,1,0,1,1,0,0,0,1,8,0,450,442
Buhera,Buhera South,Buhera RDC,27,Dzaramba Primary School,0700BUH2702,1,133,2,0,0,0,1,3,0,0,0,0,0,1,194,1,0,2,0,1,1,1,0,12,0,353,341
Buhera,Buhera South,Buhera RDC,27,Mutiusinazita Secondary School A,0700BUH2703 A,4,152,1,0,0,0,0,3,0,1,0,0,1,0,355,2,0,1,0,1,0,1,0,5,0,527,522
Buhera,Buhera South,Buhera RDC,27,Mutiusinazita Secondary School B,0700BUH2703 B,4,130,0,0,0,2,0,1,0,0,0,0,0,1,377,1,0,1,0,0,0,0,0,7,0,524,517
Buhera,Buhera South,Buhera RDC,27,Nehumambi Primary School,0700BUH2704,2,171,1,0,0,1,1,2,0,0,0,0,0,1,341,2,0,0,0,0,0,0,0,12,0,534,522
Buhera,Buhera South,Buhera RDC,27,Muzerengwa Village Tent,0700BUH2705,2,81,1,0,0,0,0,1,0,0,0,1,0,0,49,0,0,0,1,0,0,0,0,5,0,141,136
,,,,7 POLLING STATIONS,Ward Total,16,871,5,0,0,6,2,15,0,1,0,1,1,4,1970,7,1,5,2,4,2,2,2,58,0,2975,2917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,28,Barura Primary School,0700BUH2801,0,130,0,0,0,2,0,0,0,1,0,0,0,0,230,2,0,1,0,0,0,1,1,5,0,373,368
Buhera,Buhera South,Buhera RDC,28,Chapanduka Primary School A,0700BUH2802 A,5,259,0,0,0,1,1,3,0,0,0,0,0,0,253,5,0,1,0,1,0,0,0,10,0,539,529
Buhera,Buhera South,Buhera RDC,28,Chapanduka Primary School B,0700BUH2802 B,3,269,1,0,0,4,0,3,1,0,0,0,0,0,242,1,0,1,0,0,0,0,1,3,0,529,526
Buhera,Buhera South,Buhera RDC,28,Mangwadza Primary School,0700BUH2803,3,231,1,0,0,0,0,0,0,0,1,0,0,0,88,3,0,0,0,0,0,2,0,5,0,334,329
Buhera,Buhera South,Buhera RDC,28,Jori Primary School,0700BUH2804,3,275,1,1,1,1,0,3,0,0,0,0,0,0,261,6,0,0,0,2,0,1,0,8,0,563,555
Buhera,Buhera South,Buhera RDC,28,Murove Primary School,0700BUH2805,0,216,1,0,0,2,0,7,0,0,1,0,0,2,455,2,0,1,1,1,2,0,1,17,0,709,692
Buhera,Buhera South,Buhera RDC,28,Dune Primary School,0700BUH2806,1,109,1,1,0,0,0,1,0,0,1,0,0,0,92,6,0,1,0,0,0,1,0,8,0,222,214
Buhera,Buhera South,Buhera RDC,28,Mutendamambo Primary School,0700BUH2807,4,119,4,0,0,1,1,7,0,0,0,0,0,2,188,3,0,2,0,1,0,2,1,19,0,354,335
,,,,8 POLLING STATIONS,Ward Total,19,1608,9,2,1,11,2,24,1,1,3,0,0,4,1809,28,0,7,1,5,2,7,4,75,0,3623,3548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,29,Bhegedhe Primary School,0700BUH2901,5,162,7,0,1,4,0,7,0,0,0,0,1,1,416,5,0,0,0,1,0,0,3,7,0,620,613
Buhera,Buhera South,Buhera RDC,29,Chabata Primary School,0700BUH2902,1,315,0,0,0,0,0,4,0,0,0,0,0,0,264,1,0,4,0,0,1,1,0,14,0,605,591
Buhera,Buhera South,Buhera RDC,29,Muchini Primary School,0700BUH2903,3,114,1,1,0,1,0,5,0,0,0,0,0,0,207,0,1,0,0,1,0,1,1,4,0,340,336
Buhera,Buhera South,Buhera RDC,29,Nechikova Primary School,0700BUH2904,3,159,0,0,0,0,0,5,1,0,2,1,0,0,282,1,0,1,1,0,1,1,1,3,0,462,459
Buhera,Buhera South,Buhera RDC,29,Nemadziva Primary School,0700BUH2905,5,281,1,0,0,2,0,4,0,0,1,0,1,0,208,0,0,2,1,1,0,0,0,2,0,509,507
Buhera,Buhera South,Buhera RDC,29,Neshumba Primary School,0700BUH2906,1,150,0,0,0,0,0,3,0,1,0,0,0,0,273,1,0,0,0,0,0,1,0,5,0,435,430
Buhera,Buhera South,Buhera RDC,29,Tanyiswa Business Centre Tent,0700BUH2907,0,92,0,0,0,1,0,4,0,0,0,0,0,1,135,0,0,0,0,0,0,2,0,2,0,237,235
Buhera,Buhera South,Buhera RDC,29,Tapedzwa Primary School,0700BUH2908,2,78,2,0,0,0,0,1,0,0,0,0,0,0,159,2,0,0,0,0,0,0,0,5,0,249,244
,,,,8 POLLING STATIONS,Ward Total,20,1351,11,1,1,8,0,33,1,1,3,1,2,2,1944,10,1,7,2,3,2,6,5,42,0,3457,3415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,30,Chako Primary School,0700BUH3001,3,125,0,0,0,0,0,2,1,0,0,1,0,0,32,7,0,1,0,0,0,0,0,2,0,174,172
Buhera,Buhera South,Buhera RDC,30,Devuli High School,0700BUH3002,0,173,0,0,0,1,0,1,1,0,0,0,0,0,115,0,1,0,0,0,1,0,0,5,0,298,293
Buhera,Buhera South,Buhera RDC,30,Gunura Primary School,0700BUH3003,2,473,1,1,0,2,0,8,0,0,0,0,0,1,222,12,1,2,1,0,0,1,0,17,0,744,727
Buhera,Buhera South,Buhera RDC,30,Nechishanyi Primary School,0700BUH3004,3,273,0,0,1,1,0,5,0,1,0,0,1,0,120,9,0,1,0,0,1,1,0,13,0,430,417
,,,,4 POLLING STATIONS,Ward Total,8,1044,1,1,1,4,0,16,2,1,0,1,1,1,489,28,2,4,1,0,2,2,0,37,0,1646,1609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera South,Buhera RDC,33,Birchenough Primary School,0700BUH3301,1,473,7,0,0,1,1,10,0,0,0,0,1,2,206,2,0,2,0,0,0,0,1,10,0,717,707
Buhera,Buhera South,Buhera RDC,33,Bonda Irrigation Tent,0700BUH3302,2,139,0,0,0,0,0,5,0,0,0,1,0,1,23,1,0,0,0,0,0,0,0,0,0,172,172
Buhera,Buhera South,Buhera RDC,33,Chiunga Primary School,0700BUH3303,0,60,1,0,0,1,0,3,0,0,0,0,0,0,135,0,0,1,0,0,0,0,0,2,0,203,201
Buhera,Buhera South,Buhera RDC,33,Devuli Primary School A,0700BUH3304 A,3,532,5,0,0,1,0,3,2,0,0,0,0,1,196,6,0,2,0,2,0,2,0,13,0,768,755
Buhera,Buhera South,Buhera RDC,33,Devuli Primary School B,0700BUH3304 B,1,528,4,0,0,1,1,5,0,2,1,0,0,0,209,3,0,2,2,1,0,0,0,3,0,763,760
Buhera,Buhera South,Buhera RDC,33,Kufakwatenzi Primary School,0700BUH3305,1,252,2,0,0,0,0,7,0,0,0,0,0,0,62,1,0,0,3,0,0,0,1,10,0,339,329
,,,,6 POLLING STATIONS,Ward Total,8,1984,19,0,0,4,2,33,2,2,1,1,1,4,831,13,0,7,5,3,0,2,2,38,0,2962,2924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BUHERA SOUTH CONSTITUENCY TOTALS,,,141,10228,95,8,9,60,16,189,9,12,10,7,5,24,12415,137,16,45,25,22,23,28,23,389,0,23936,23547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera West,Buhera RDC,1,Chiverevere Business Centre Tent,0700BUH0101,1,164,2,0,0,0,1,4,1,0,0,0,0,0,124,2,0,1,1,0,1,2,0,4,0,308,304
Buhera,Buhera West,Buhera RDC,1,Kuenda Primary School,0700BUH0102,0,77,0,0,0,2,0,1,0,0,0,0,0,0,224,2,0,2,1,0,0,0,1,3,0,313,310
Buhera,Buhera West,Buhera RDC,1,Mudzamiri Primary School,0700BUH0103,1,119,1,0,1,1,0,1,1,1,0,0,0,1,134,1,0,1,0,0,0,0,0,5,0,268,263
Buhera,Buhera West,Buhera RDC,1,Mudzamiri Secondary School,0700BUH0104,1,137,0,0,0,0,1,4,0,0,0,1,0,1,142,3,1,0,0,0,0,0,0,6,0,297,291
Buhera,Buhera West,Buhera RDC,1,St Geoges Primary School,0700BUH0105,1,163,1,0,0,0,0,3,0,0,0,0,0,0,232,1,0,1,1,0,0,0,0,5,0,408,403
Buhera,Buhera West,Buhera RDC,1,Zvembira Secondary School,0700BUH0106,0,117,0,0,1,0,1,5,0,0,0,0,0,0,147,2,0,0,0,0,0,1,,3,0,277,274
,,,,6 POLLING STATIONS,Ward Total,4,777,4,0,2,3,3,18,2,1,0,1,0,2,1003,11,1,5,3,0,1,3,1,26,0,1871,1845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera West,Buhera RDC,2,Bere Primary School,0700BUH0201,5,142,0,0,0,0,0,0,0,0,0,0,0,0,105,5,0,2,0,0,0,1,0,10,0,270,260
Buhera,Buhera West,Buhera RDC,2,Chapwanya Primary School,0700BUH0202,1,224,0,0,0,1,0,2,0,0,0,0,0,0,167,3,1,0,0,0,1,1,2,6,0,409,403
Buhera,Buhera West,Buhera RDC,2,Chigavakava Business Centre Tent,0700BUH0203,1,223,1,0,0,0,0,3,0,0,0,0,0,0,127,3,1,0,0,0,0,0,0,5,0,364,359
Buhera,Buhera West,Buhera RDC,2,Munyaradzi Primary School,0700BUH0204,0,188,4,0,0,0,0,5,1,0,0,1,0,0,138,1,2,0,1,0,0,1,0,6,0,348,342
Buhera,Buhera West,Buhera RDC,2,St Josephs Maburutse Primary School,0700BUH0205,2,157,0,0,0,0,0,1,0,0,0,1,0,0,119,1,0,0,1,0,0,0,0,3,0,285,282
,,,,5 POLLING STATIONS,Ward Total,9,934,5,0,0,1,0,11,1,0,0,2,0,0,656,13,4,2,2,0,1,3,2,30,0,1676,1646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera West,Buhera RDC,3,Chatindo Primary School,0700BUH0301,3,290,0,0,0,0,2,9,0,0,0,0,0,1,263,1,0,1,1,2,0,0,2,1,0,576,575
Buhera,Buhera West,Buhera RDC,3,Garamwera Township Tent,0700BUH0302,1,224,1,0,0,0,0,3,1,0,0,0,0,2,331,5,0,0,1,1,0,0,0,1,0,571,570
Buhera,Buhera West,Buhera RDC,3,Gwebu Primary School,0700BUH0303,1,301,0,0,0,1,0,5,0,0,0,0,0,0,268,2,1,0,0,2,0,1,1,3,0,586,583
Buhera,Buhera West,Buhera RDC,3,Ngundu Primary School,0700BUH0304,3,227,4,1,0,0,0,4,0,0,0,0,0,0,179,4,0,1,2,0,0,0,0,6,0,431,425
,,,,4 POLLING STATIONS,Ward Total,8,1042,5,1,0,1,2,21,1,0,0,0,0,3,1041,12,1,2,4,5,0,1,3,11,0,2164,2153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera West,Buhera RDC,4,Chapungu Primary School,0700BUH0401,1,209,3,0,1,0,1,4,0,0,0,1,0,0,290,7,0,0,0,0,0,0,1,4,0,522,518
Buhera,Buhera West,Buhera RDC,4,Chikuvire Primary School,0700BUH0402,0,192,3,0,0,1,1,3,0,0,0,0,0,0,165,1,0,1,0,0,0,0,0,0,0,367,367
Buhera,Buhera West,Buhera RDC,4,Mafambiri Business Centre Tent,0700BUH0403,2,178,1,0,0,1,0,2,0,0,0,0,0,0,109,2,0,1,0,0,0,0,0,2,0,298,296
Buhera,Buhera West,Buhera RDC,4,Mapisa Business Centre Tent,0700BUH0404,3,156,1,0,0,1,0,1,0,1,1,0,0,0,245,5,0,1,0,0,0,1,0,3,0,419,416
Buhera,Buhera West,Buhera RDC,4,Nerutanga Primary School,0700BUH0405,3,321,1,1,1,2,0,5,0,0,1,0,0,0,243,8,1,1,0,1,0,1,1,7,0,598,591
,,,,5 POLLING STATIONS,Ward Total,9,1056,9,1,2,5,2,15,0,1,2,1,0,0,1052,23,1,4,0,1,0,2,2,16,0,2204,2188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera West,Buhera RDC,5,Buhera Primary School,0700BUH0501,2,368,3,1,0,0,0,8,0,0,0,0,0,1,192,2,0,1,2,0,1,0,0,2,0,583,581
Buhera,Buhera West,Buhera RDC,5,Gosho Primary School,0700BUH0502,0,237,1,1,1,1,0,9,0,0,0,0,0,0,161,5,1,1,2,1,0,2,0,11,0,434,423
Buhera,Buhera West,Buhera RDC,5,Gute Primary School,0700BUH0503,4,177,3,1,0,1,2,3,1,0,0,0,0,0,260,2,0,0,1,0,0,0,1,9,0,465,456
Buhera,Buhera West,Buhera RDC,5,Jaggers Business Centre Tent,0700BUH0504,0,125,0,0,1,1,0,0,0,0,0,0,0,1,102,2,0,0,0,0,1,0,0,6,0,239,233
Buhera,Buhera West,Buhera RDC,5,Makanda Primary School,0700BUH0505,1,198,0,0,0,0,0,1,0,0,0,0,0,0,44,0,0,1,0,0,1,0,0,0,0,246,246
Buhera,Buhera West,Buhera RDC,5,Makumbe Primary School,0700BUH0506,8,248,4,0,1,1,2,7,0,2,0,0,0,2,276,3,1,0,0,0,1,2,0,2,0,560,558
Buhera,Buhera West,Buhera RDC,5,Marume Primary School,0700BUH0507,2,234,2,0,1,0,0,1,1,0,0,0,0,2,420,2,0,1,1,1,1,1,0,6,0,676,670
,,,,7 POLLING STATIONS,Ward Total,17,1587,13,3,4,4,4,29,2,2,0,0,0,6,1455,16,2,4,6,2,5,5,1,36,0,3203,3167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera West,Buhera RDC,6,Dzarova Primary School,0700BUH0601,2,132,2,0,0,0,1,1,0,1,0,0,0,1,182,0,0,0,0,0,1,0,1,4,0,328,324
Buhera,Buhera West,Buhera RDC,6,Marenga Business Centre Tent,0700BUH0602,1,188,1,0,0,0,2,0,0,0,0,0,0,0,117,0,1,0,1,0,0,0,0,5,0,316,311
Buhera,Buhera West,Buhera RDC,6,Matimba Business Centre Tent,0700BUH0603,3,309,2,0,1,2,0,3,0,0,0,0,1,0,213,2,0,0,0,0,0,0,2,4,0,542,538
